Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu),NOx Production (ng),Energy Added Heat Pump (Btu/min)
8610.0,0.0,68.0,40.0,104.87226423236719,-49.78436294282699,-0.0,0.0,0.0,0.0,1.771919339419082,-49.78436294282699,5.0,5,0.4166666666666667,0.0,0.0,0.0
8615.0,0.0,68.0,40.0,104.77999624972938,-49.659784134574394,-0.0,0.0,0.0,0.0,1.7721500093756766,-49.659784134574394,5.0,5,0.4166666666666667,0.0,0.0,0.0
8620.0,0.0,68.0,40.0,104.68795915556011,-49.535517068373885,-0.0,0.0,0.0,0.0,1.7723801021110996,-49.535517068373885,5.0,5,0.4166666666666667,0.0,0.0,0.0
8625.0,0.0,68.0,40.0,104.5961523720914,-49.41156096413206,-0.0,0.0,0.0,0.0,1.7726096190697715,-49.41156096413206,5.0,5,0.4166666666666667,0.0,0.0,0.0
8630.0,0.0,68.0,40.0,104.50457532300108,-49.28791504370758,-0.0,0.0,0.0,0.0,1.7728385616924973,-49.28791504370758,5.0,5,0.4166666666666667,0.0,0.0,0.0
8635.0,0.0,68.0,40.0,104.41322743340913,-49.16457853090632,-0.0,0.0,0.0,0.0,1.7730669314164773,-49.16457853090632,5.0,5,0.4166666666666667,0.0,0.0,0.0
8640.0,0.0,68.0,40.0,104.32210812987411,-49.04155065147647,-0.0,0.0,0.0,0.0,1.7732947296753148,-49.04155065147647,5.0,5,0.4166666666666667,0.0,0.0,0.0
8645.0,0.0,68.0,40.0,104.23121684038954,-48.918830633103696,-0.0,0.0,0.0,0.0,1.7735219578990262,-48.918830633103696,5.0,5,0.4166666666666667,0.0,0.0,0.0
8650.0,0.0,68.0,40.0,104.14055299438029,-48.79641770540628,-0.0,0.0,0.0,0.0,1.7737486175140493,-48.79641770540628,5.0,5,0.4166666666666667,0.0,0.0,0.0
8655.0,0.0,68.0,40.0,104.05011602269903,-48.67431109993025,-0.0,0.0,0.0,0.0,1.7739747099432526,-48.67431109993025,5.0,5,0.4166666666666667,0.0,0.0,0.0
