Time (min),Hot Water Draw Volume (gal),Inlet Water Temperature (deg F),Ambient Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Total Energy Change (Btu),Timestep (min)
1530,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1535,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1540,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1545,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1550,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1555,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1560,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1565,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1570,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1575,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1580,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1585,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1590,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1595,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1600,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1605,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1610,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1615,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1620,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1625,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1630,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1635,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1640,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1645,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1650,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1655,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1660,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1665,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1670,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1675,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1680,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1685,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1690,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1695,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1700,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1705,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1710,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1715,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1720,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1725,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1730,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1735,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1740,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1745,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1750,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1755,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1760,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1765,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1770,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1775,0.0,0.0,68,0,0,0,0,0,0,0,0,5
1780,0.0,0.0,68,0,0,0,0,0,0,0,0,5
