Time (min),Hot Water Draw Volume (gal),Ambient Temperature (deg F),Inlet Water Temperature (deg F),Tank Temperature (deg F),Jacket Losses (Btu),Energy Withdrawn (Btu),Energy Added Backup (Btu),Energy Added Heat Pump (Btu),Energy Added Total (Btu),COP Gas,Tank Temperature (deg C),Time Step (min),Total Energy Change (Btu),Elec Energy Demand (Watts),Electric Usage (W-hrs),Gas Usage (Btu)
5755,0.0,68,40,135.66819836227506,-131.60929596686248,-0.0,0.0,899.963792645327,899.963792645327,1.6889220286115447,57.593443534597256,5.0,768.3544966784646,158.5,13.208333333333332,532.8628423333333
5760,0.0,68,40,136.9361719433808,-134.0754043361218,-0.0,0.0,0.0,0.0,0.0,58.29787330187822,5.0,-134.0754043361218,5.0,0.41666666666666663,0.0
5765,0.0,68,40,136.7149146053823,-133.64507630631982,-0.0,0.0,0.0,0.0,0.0,58.17495255854571,5.0,-133.64507630631982,5.0,0.41666666666666663,0.0
5770,0.0,68,40,136.4943674142956,-133.21612945611713,-0.0,0.0,0.0,0.0,0.0,58.05242634127533,5.0,-133.21612945611713,5.0,0.41666666666666663,0.0
5775,0.0,68,40,136.27452809083525,-132.78855935248367,-0.0,0.0,0.0,0.0,0.0,57.930293383797355,5.0,-132.78855935248367,5.0,0.41666666666666663,0.0
5780,0.0,68,40,136.05539436303135,-132.36236157661762,-0.0,0.0,0.0,0.0,0.0,57.808552423906306,5.0,-132.36236157661762,5.0,0.41666666666666663,0.0
5785,0.0,68,40,135.83696396620613,-131.93753172389972,-0.0,0.0,0.0,0.0,0.0,57.687202203447846,5.0,-131.93753172389972,5.0,0.41666666666666663,0.0
5790,0.0,68,40,135.61923464295052,-131.51406540384787,-0.0,0.0,0.0,0.0,0.0,57.56624146830584,5.0,-131.51406540384787,5.0,0.41666666666666663,0.0
5795,0.0,68,40,135.40220414310082,-131.0919582400715,-0.0,0.0,0.0,0.0,0.0,57.44566896838934,5.0,-131.0919582400715,5.0,0.41666666666666663,0.0
5800,0.0,68,40,135.18587022371545,-130.67120587022663,-0.0,0.0,0.0,0.0,0.0,57.3254834576197,5.0,-130.67120587022663,5.0,0.41666666666666663,0.0
5805,0.0,68,40,134.97023064905176,-130.25180394597052,-0.0,0.0,0.0,0.0,0.0,57.20568369391764,5.0,-130.25180394597052,5.0,0.41666666666666663,0.0
5810,0.0,68,40,134.75528319054294,-129.83374813291695,-0.0,0.0,0.0,0.0,0.0,57.08626843919052,5.0,-129.83374813291695,5.0,0.41666666666666663,0.0
5815,0.0,68,40,134.541025626775,-129.4170341105913,-0.0,0.0,0.0,0.0,0.0,56.96723645931944,5.0,-129.4170341105913,5.0,0.41666666666666663,0.0
5820,0.0,68,40,134.32745574346376,-129.0016575723859,-0.0,0.0,0.0,0.0,0.0,56.84858652414653,5.0,-129.0016575723859,5.0,0.41666666666666663,0.0
5825,0.0,68,40,134.11457133343202,-128.58761422551564,-0.0,0.0,0.0,0.0,0.0,56.73031740746224,5.0,-128.58761422551564,5.0,0.41666666666666663,0.0
5830,0.0,68,40,133.90237019658673,-128.17489979097343,-0.0,0.0,0.0,0.0,0.0,56.61242788699263,5.0,-128.17489979097343,5.0,0.41666666666666663,0.0
5835,0.0,68,40,133.69085013989624,-127.7635100034861,-0.0,0.0,0.0,0.0,0.0,56.4949167443868,5.0,-127.7635100034861,5.0,0.41666666666666663,0.0
5840,0.0,68,40,133.48000897736765,-127.35344061147029,-0.0,0.0,0.0,0.0,0.0,56.377782765204245,5.0,-127.35344061147029,5.0,0.41666666666666663,0.0
5845,0.0,68,40,133.26984453002422,-126.94468737698853,-0.0,0.0,0.0,0.0,0.0,56.26102473890234,5.0,-126.94468737698853,5.0,0.41666666666666663,0.0
5850,0.0,68,40,133.06035462588287,-126.53724607570544,-0.0,0.0,0.0,0.0,0.0,56.14464145882381,5.0,-126.53724607570544,5.0,0.41666666666666663,0.0
5855,0.0,68,40,132.85153709993168,-126.13111249684397,-0.0,0.0,0.0,0.0,0.0,56.028631722184265,5.0,-126.13111249684397,5.0,0.41666666666666663,0.0
5860,0.0,68,40,132.64338979410755,-125.72628244314204,-0.0,0.0,0.0,0.0,0.0,55.912994330059746,5.0,-125.72628244314204,5.0,0.41666666666666663,0.0
5865,0.0,68,40,132.4359105572739,-125.32275173080907,-0.0,0.0,0.0,0.0,0.0,55.79772808737439,5.0,-125.32275173080907,5.0,0.41666666666666663,0.0
5870,0.0,68,40,132.22909724519846,-124.92051618948277,-0.0,0.0,0.0,0.0,0.0,55.68283180288803,5.0,-124.92051618948277,5.0,0.41666666666666663,0.0
5875,0.0,68,40,132.02294772053102,-124.51957166218602,-0.0,0.0,0.0,0.0,0.0,55.5683042891839,5.0,-124.51957166218602,5.0,0.41666666666666663,0.0
5880,0.0,68,40,131.81745985278144,-124.1199140052839,-0.0,0.0,0.0,0.0,0.0,55.45414436265635,5.0,-124.1199140052839,5.0,0.41666666666666663,0.0
5885,0.0,68,40,131.6126315182976,-123.72153908844098,-0.0,0.0,0.0,0.0,0.0,55.34035084349867,5.0,-123.72153908844098,5.0,0.41666666666666663,0.0
5890,0.0,68,40,131.40846060024344,-123.32444279457845,-0.0,0.0,0.0,0.0,0.0,55.2269225556908,5.0,-123.32444279457845,5.0,0.41666666666666663,0.0
5895,0.0,68,40,131.2049449885771,-122.92862101983162,-0.0,0.0,0.0,0.0,0.0,55.11385832698728,5.0,-122.92862101983162,5.0,0.41666666666666663,0.0
5900,0.0,68,40,131.00208258002905,-122.53406967350772,-0.0,0.0,0.0,0.0,0.0,55.00115698890503,5.0,-122.53406967350772,5.0,0.41666666666666663,0.0
5905,0.0,68,40,130.7998712780805,-122.1407846780433,-0.0,0.0,0.0,0.0,0.0,54.88881737671139,5.0,-122.1407846780433,5.0,0.41666666666666663,0.0
5910,0.0,68,40,130.59830899294158,-121.74876196896237,-0.0,0.0,0.0,0.0,0.0,54.77683832941199,5.0,-121.74876196896237,5.0,0.41666666666666663,0.0
5915,0.0,68,40,130.39739364152982,-121.35799749483417,-0.0,0.0,0.0,0.0,0.0,54.665218689738786,5.0,-121.35799749483417,5.0,0.41666666666666663,0.0
5920,0.064306111512,68,40,130.19712314744856,-120.9684872172314,-48.14747400950067,0.0,0.0,0.0,0.0,54.55395730413809,5.0,-169.11596122673205,5.0,0.41666666666666663,0.0
5925,0.0,68,40,129.91804028673027,-120.4256931174253,-0.0,0.0,0.0,0.0,0.0,54.398911270405705,5.0,-120.4256931174253,5.0,0.41666666666666663,0.0
5930,0.0,68,40,129.71930832378956,-120.0391751612546,-0.0,0.0,0.0,0.0,0.0,54.28850462432753,5.0,-120.0391751612546,5.0,0.41666666666666663,0.0
5935,0.0,68,40,129.52121421038206,-119.6538977719976,-0.0,0.0,0.0,0.0,0.0,54.17845233910114,5.0,-119.6538977719976,5.0,0.41666666666666663,0.0
5940,0.0,68,40,129.32375589926775,-119.26985696793436,-0.0,0.0,0.0,0.0,0.0,54.06875327737097,5.0,-119.26985696793436,5.0,0.41666666666666663,0.0
5945,0.0,68,40,129.12693134977744,-118.88704878012459,-0.0,0.0,0.0,0.0,0.0,53.959406305431905,5.0,-118.88704878012459,5.0,0.41666666666666663,0.0
5950,0.0,68,40,128.93073852779165,-118.50546925236674,-0.0,0.0,0.0,0.0,0.0,53.85041029321758,5.0,-118.50546925236674,5.0,0.41666666666666663,0.0
5955,0.0,68,40,128.7351754057196,-118.125114441157,-0.0,0.0,0.0,0.0,0.0,53.74176411428866,5.0,-118.125114441157,5.0,0.41666666666666663,0.0
5960,-0.06460622879999309,68,40,128.54023996247827,-117.74598041564877,47.48360220664974,0.0,0.0,0.0,0.0,53.63346664582126,5.0,-70.26237820899902,5.0,0.41666666666666663,0.0
5965,0.09628228274400014,68,40,128.42428978622524,-117.52046648985758,-70.67186151676404,0.0,0.0,0.0,0.0,53.569049881236246,5.0,-188.1923280066216,5.0,0.41666666666666663,0.0
5970,0.0,68,40,128.11372623631343,-116.91644493843336,-0.0,0.0,0.0,0.0,0.0,53.39651457572968,5.0,-116.91644493843336,5.0,0.41666666666666663,0.0
5975,0.0,68,40,127.92078539452802,-116.5411902550637,-0.0,0.0,0.0,0.0,0.0,53.28932521918223,5.0,-116.5411902550637,5.0,0.41666666666666663,0.0
5980,0.0,68,40,127.72846381511015,-116.16713998803999,-0.0,0.0,0.0,0.0,0.0,53.182479897283415,5.0,-116.16713998803999,5.0,0.41666666666666663,0.0
5985,0.0,68,40,127.53675951047707,-115.79429027167097,-0.0,0.0,0.0,0.0,0.0,53.07597750582059,5.0,-115.79429027167097,5.0,0.41666666666666663,0.0
