Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),LIVING_1:Zone Mean Air Temperature [C](Hourly),LIVING_1:Zone Mean Air Dewpoint Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Temperature [C](Hourly),FINISHEDBASEMENT_1:Zone Mean Air Dewpoint Temperature [C](Hourly),GARAGE:Zone Mean Air Temperature [C](Hourly),GARAGE:Zone Mean Air Dewpoint Temperature [C](Hourly),WATER HEATER_1:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER_1:Water Heater Use Side Inlet Temperature [C](Hourly),WATER HEATER_1:Water Heater Heating Energy [J](Hourly)
 05/28  24:00:00,18.25833333,14.71930802,12.41797225,21.95661152,14.8017574,17.19758986,6.72859661,18.23774821,10.3946227,0,12.09983443,0
 05/29  01:00:00,17.15833333,14.16754886,12.52347351,21.7931164,14.77641905,17.17122213,6.729579356,17.74433958,10.39762684,0,12.09983443,1496119.991
 05/29  02:00:00,16.99166667,14.12227181,12.52347351,21.66791802,14.75091226,17.16684819,6.721971685,17.19056039,10.3915654,0,12.09983443,0
 05/29  03:00:00,16.55833333,14.1545598,12.52347351,21.6666268,14.71262306,17.23350871,6.717140498,16.78569409,10.38782661,0,12.09983443,0
 05/29  04:00:00,16.1,14.28878584,12.52347351,21.66663406,14.67619299,17.31279181,6.727468529,16.35667361,10.40026629,0,12.09983443,0
 05/29  05:00:00,16.1,14.61259343,12.52347351,21.66664672,14.63276798,17.35731887,6.735556555,16.02694393,10.41083063,0,12.09983443,0
 05/29  06:00:00,17.73333333,16.11832531,12.52347351,21.66666585,14.61085058,17.36730931,6.737333893,16.29936451,10.41844205,0.006194633,12.50127407,5152916.733
 05/29  07:00:00,20.18333333,17.36674099,12.52347351,21.66666689,14.64094712,17.2871269,6.739069527,17.43545691,10.43645536,0.000327618,12.52347341,0
 05/29  08:00:00,21.1,17.9050985,12.52347351,21.66666669,14.65513686,17.26400288,6.740763874,18.78798766,10.45876608,0.000174156,12.52347346,0
 05/29  09:00:00,21.74166667,17.98850463,12.52347351,21.66666672,14.67010277,17.23941458,6.742128308,20.03498116,10.47857367,0.000275633,12.52347347,0
 05/29  10:00:00,23.83333333,18.94227458,12.52347351,21.75257047,14.71732024,17.13195067,6.743351447,22.31233967,10.49987589,0.000546893,12.5234735,1582591.188
 05/29  11:00:00,26.28333333,20.4652151,12.52347351,21.80739576,14.7944772,17.10922515,6.735992981,24.85409106,10.52264778,0.002346224,12.52347351,1702684.743
 05/29  12:00:00,26.26666667,20.55820482,12.52347351,21.88049282,14.86010034,17.11353579,6.730964494,27.00896009,10.54702963,0.00168996,12.52347351,1496142.067
 05/29  13:00:00,25.6,20.24251309,12.52347351,22.0143927,14.93278793,17.11698829,6.723642335,28.16439577,10.57795973,0.005043179,12.52347351,2266298.806
 05/29  14:00:00,25.6,20.24181718,12.52347351,22.11409903,15.00174186,17.12000671,6.718768185,28.46877571,10.61569853,0.000479796,12.52347351,1496153.065
 05/29  15:00:00,25.6,20.0585051,12.52347351,22.30048485,15.07300307,17.1303735,6.720068999,28.41375876,10.66177499,0.003212694,12.52347351,1879590.746
 05/29  16:00:00,24.60833333,19.85592898,12.52347351,22.504651,15.127885,17.14422645,6.712655179,28.06724163,10.69477482,0.001622755,12.52347351,937732.9558
 05/29  17:00:00,22.61666667,19.17705123,12.52347351,22.6737666,15.21604111,17.16576128,6.699268741,27.05554501,10.72530184,0.002492244,12.52347351,2200769.334
 05/29  18:00:00,22.63333333,18.45963899,12.52347351,22.75632873,15.30204204,17.19083708,6.694616863,25.64327214,10.75109625,0.000274695,12.52347351,0
 05/29  19:00:00,22.65833333,18.40741027,12.52347351,22.80657783,15.349689,17.2107967,6.696078454,24.45425663,10.77060958,8.53686E-06,12.52347351,0
 05/29  20:00:00,20.91666667,17.50381742,12.52347351,22.71087713,15.39061582,17.23039582,6.697332163,23.03825459,10.79057878,0.0006089,12.52347351,0
 05/29  21:00:00,20,17.35946989,12.52347351,22.58279769,15.43291374,17.25020868,6.707304812,21.07426186,10.8169302,0,12.52347351,1496114.144
 05/29  22:00:00,19.35833333,17.78635827,12.52347351,22.68671486,15.48483924,17.2454492,6.714596842,19.81031439,10.84052695,0.01525169,12.52347351,9328572.893
 05/29  23:00:00,20.53333333,18.1414661,12.52347351,22.36128068,15.53537884,17.21316725,6.715537577,19.1210439,10.85863479,0,12.52347351,0
 05/29  24:00:00,20.35833333,17.32499129,12.52347351,22.15658251,15.57910451,17.18340595,6.716566327,19.15933807,10.87841758,0,12.52347351,0
 05/30  01:00:00,19.10833333,16.8891239,12.6286503,21.92153723,15.60441559,17.16211969,6.717549629,19.14729883,10.89156085,0,12.52347351,0
 05/30  02:00:00,17.90833333,16.34131982,12.6286503,21.71288034,15.63329257,17.14440439,6.718494945,18.79814133,10.90254852,0,12.52347351,0
 05/30  03:00:00,16.90833333,15.90091045,12.6286503,21.66666088,15.63863719,17.18988985,6.719561394,18.24123891,10.91482412,0,12.52347351,0
 05/30  04:00:00,16.35,15.43918132,12.6286503,21.66665094,15.62062049,17.26865722,6.720869307,17.71932954,10.92691645,9.25388E-05,12.53226677,1508776.833
 05/30  05:00:00,16.74166667,15.87473718,12.6286503,21.6978253,15.58586021,17.31602124,6.72233915,17.34770904,10.93870609,0.008665984,12.55778544,4697146.692
 05/30  06:00:00,17.2,16.26716684,12.6286503,21.73903506,15.64921593,17.24981662,6.723638633,17.51133052,10.95264725,0.008878731,12.6286503,5163325.756
 05/30  07:00:00,18.19166667,16.29073479,12.6286503,21.69944419,15.65187635,17.22913327,6.724845623,18.44427842,10.96358017,0.000657411,12.6286503,1600291.78
 05/30  08:00:00,20.825,17.25562207,12.6286503,21.8255467,15.67415216,17.1212334,6.73462436,20.12531768,10.98434247,0.001126998,12.6286503,0
 05/30  09:00:00,23.19166667,18.02880126,12.6286503,21.91943132,15.68134091,17.12558395,6.733270324,22.04312437,10.99613956,0,12.6286503,0
 05/30  10:00:00,23.25833333,17.68382515,12.6286503,21.98930776,15.66799004,17.13554403,6.728319361,23.600333,11.00858479,0,12.6286503,1496145.236
 05/30  11:00:00,23.73333333,18.59582407,12.6286503,21.95182248,15.66021034,17.14162293,6.729576335,24.33313242,11.03040927,0,12.6286503,0
 05/30  12:00:00,23.46666667,18.6671015,12.6286503,22.05095745,15.69287435,17.14538211,6.730862134,24.81458635,11.05956114,0.003651808,12.6286503,2234528.884
 05/30  13:00:00,22.8,18.49328286,12.6286503,22.033775,15.71568031,17.14856315,6.732162287,25.18222705,11.08623422,0,12.6286503,0
 05/30  14:00:00,24.08333333,18.98807941,12.6286503,22.1371765,15.74560491,17.15108128,6.733447984,25.36979492,11.11727491,0,12.6286503,0
 05/30  15:00:00,25.64166667,19.07082003,12.6286503,22.50953835,15.78339845,17.15861554,6.734623166,25.99943527,11.14290581,0.014058643,12.6286503,9469255.926
 05/30  16:00:00,26.1,18.84399186,12.6286503,22.55011737,15.80120618,17.17233947,6.727158137,26.74479243,11.15248286,0.001131758,12.6286503,0
 05/30  17:00:00,25.45833333,18.17482292,12.6286503,22.85258088,15.79880588,17.18916375,6.7310746,27.00210523,11.17288895,0.000578889,12.6286503,1496135.078
